,CountryName,DateTime,StringencyIndex,ContainmentHealthIndex,EconomicSupportIndex,GovernmentResponseIndex
161,Argentina,2022-03-01,,,,
162,Aruba,2020-01-01,0.0,0.0,0.0,0.0
163,Aruba,2020-02-01,0.0,0.0,0.0,0.0
164,Aruba,2020-03-01,0.0,0.0,0.0,0.0
165,Aruba,2020-04-01,85.19,67.86,87.5,70.31
166,Aruba,2020-05-01,85.19,67.86,87.5,70.31
167,Aruba,2020-06-01,57.41,50.0,87.5,54.69
168,Aruba,2020-07-01,47.22,41.07,87.5,46.88
169,Aruba,2020-08-01,43.52,38.69,62.5,41.67
170,Aruba,2020-09-01,71.76,64.58,62.5,64.32
171,Aruba,2020-10-01,54.17,53.27,62.5,54.43
172,Aruba,2020-11-01,40.74,42.86,62.5,45.31
173,Aruba,2020-12-01,28.7,36.9,62.5,40.1
174,Aruba,2021-01-01,35.19,41.07,0.0,35.94
175,Aruba,2021-02-01,46.3,41.07,0.0,35.94
176,Aruba,2021-03-01,56.48,50.48,0.0,44.17
177,Aruba,2021-04-01,67.59,65.95,62.5,65.52
178,Aruba,2021-05-01,60.19,65.48,12.5,58.85
179,Aruba,2021-06-01,48.15,57.74,12.5,52.08
180,Aruba,2021-07-01,33.33,39.88,12.5,36.46
181,Aruba,2021-08-01,28.7,36.9,12.5,33.85
182,Aruba,2021-09-01,43.52,40.48,12.5,36.98
183,Aruba,2021-10-01,19.91,31.61,12.5,29.22
184,Aruba,2021-11-01,41.67,47.02,12.5,42.71
185,Aruba,2021-12-01,41.67,47.02,12.5,42.71
186,Aruba,2022-01-01,41.67,47.02,25.0,44.27
187,Aruba,2022-02-01,32.41,41.07,25.0,39.06
188,Aruba,2022-03-01,28.7,38.69,25.0,36.98
189,Australia,2020-01-01,0.0,0.0,0.0,0.0
190,Australia,2020-02-01,13.89,18.45,0.0,16.15
191,Australia,2020-03-01,19.44,22.02,0.0,19.27
192,Australia,2020-04-01,71.3,60.12,75.0,61.98
193,Australia,2020-05-01,69.44,62.5,75.0,64.06
194,Australia,2020-06-01,62.04,54.17,75.0,56.77
195,Australia,2020-07-01,68.98,62.2,75.0,63.8
196,Australia,2020-08-01,68.06,67.86,75.0,68.75
197,Australia,2020-09-01,75.46,72.62,75.0,72.92
198,Australia,2020-10-01,68.06,67.86,75.0,68.75
199,Australia,2020-11-01,62.5,61.9,75.0,63.54
200,Australia,2020-12-01,62.5,57.14,75.0,59.38
201,Australia,2021-01-01,70.83,63.69,50.0,61.98
202,Australia,2021-02-01,78.24,72.62,50.0,69.79
203,Australia,2021-03-01,50.46,55.54,50.0,54.84
204,Australia,2021-04-01,46.76,58.1,0.0,50.83
205,Australia,2021-05-01,44.91,56.9,0.0,49.79
